Title,Date,Link to event,Location
Empowerment Day România,Sun Nov 19 10:00:00 CET 2022,https://www.eventbrite.co.uk/e/empowerment-day-romania-tickets-399924383597?aff=ebdssbdestsearch,Palace Hall București
Diwali Festival Berlin 2022,No Date,https://www.eventbrite.com/e/diwali-festival-berlin-2022-tickets-428533925507?aff=ebdssbdestsearch,Sage Beach Berlin
Silvester in der Kulturbrauerei,Sun Dec 31 08:00:00 CET 2022,https://www.eventbrite.de/e/silvester-in-der-kulturbrauerei-tickets-422324151907?aff=ebdssbdestsearch,KulturBrauerei Berlin
Cairokee (Berlin),Thu Nov 23 07:00:00 CET 2022,https://www.eventbrite.co.uk/e/cairokee-berlin-tickets-415418717567?aff=ebdssbdestsearch,Huxley's Neue Welt Berlin
Focus and Protect: Autumn Tour 2022 - Milan,Sun Nov 19 10:00:00 CET 2022,https://www.eventbrite.co.uk/e/focus-and-protect-autumn-tour-2022-milan-tickets-403413680177?aff=ebdssbdestsearch,NH Milano Congress Center Milano
Die lange Nacht der Clubs Stuttgart,No Date,https://www.eventbrite.de/e/die-lange-nacht-der-clubs-stuttgart-tickets-93851292743?aff=ebdssbdestsearch,Stuttgart-Mitte Stuttgart
FABBRICA DEL VAPORE -  Openwine,Fri Nov 17 07:00:00 CET 2022,https://www.eventbrite.it/e/biglietti-fabbrica-del-vapore-openwine-192714593537?aff=ebdssbdestsearch,Vapore 1928 Milano
Istanbul Blockchain Week,No Date,https://www.eventbrite.co.uk/e/istanbul-blockchain-week-tickets-356220865197?aff=ebdssbdestsearch,Hilton Istanbul Bomonti Hotel & Conference Center Istanbul Istanbul
Exit666 Festival [Warehouse Indoor Rave],Sun Nov 26 07:00:00 CET 2022,https://www.eventbrite.com/e/exit666-festival-warehouse-indoor-rave-tickets-425677210997?aff=ebdssbdestsearch,UTOPIA - A HAPPENING PLACE (ehem. Reithalle) München
TechRadarCon22,No Date,https://www.eventbrite.ie/e/techradarcon22-tickets-400004051887?aff=ebdssbdestsearch,Zappa Tel Aviv-Yafo Tel Aviv District
"""HackInBo - Sicurezza all'ombra delle Torri"" WINTER Edition 2022 - 19° Ed.",Sun Dec 03 09:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-hackinbo-sicurezza-allombra-delle-torri-winter-edition-2022-19-ed-422310190147?aff=ebdssbdestsearch,FICO Eataly World Bologna
Lumpenbande Vintage Kilo Sale •  München •  Sa. 12.11 &  So. 13.11.22,No Date,https://www.eventbrite.de/e/lumpenbande-vintage-kilo-sale-munchen-sa-1211-so-131122-tickets-432424492297?aff=ebdssbdestsearch,Weitblick Eventlocation München
Marwan Moussa in Berlin,No Date,https://www.eventbrite.co.uk/e/marwan-moussa-in-berlin-tickets-420541409677?aff=ebdssbdestsearch,Oyoun Berlin
CRAZY PIANOBAR Live Music Show e Dj set,Fri Nov 17 07:30:00 CET 2022,https://www.eventbrite.it/e/biglietti-crazy-pianobar-live-music-show-e-dj-set-428586041387?aff=ebdssbdestsearch,55 Milano Milano
