,Title,Date,Link to event,Location
1,Empowerment Day România,Sat Nov 19 10:00 AM,https://www.eventbrite.co.uk/e/empowerment-day-romania-tickets-399924383597?aff=ebdssbdestsearch,Palace Hall • București
2,Diwali Festival Berlin 2022,Tomorrow at 12:00 PM,https://www.eventbrite.com/e/diwali-festival-berlin-2022-tickets-428533925507?aff=ebdssbdestsearch,Sage Beach • Berlin
3,Silvester in der Kulturbrauerei,Sat Dec 31 8:00 PM,https://www.eventbrite.de/e/silvester-in-der-kulturbrauerei-tickets-422324151907?aff=ebdssbdestsearch,KulturBrauerei • Berlin
4,Cairokee (Berlin),Wed Nov 23 7:00 PM,https://www.eventbrite.co.uk/e/cairokee-berlin-tickets-415418717567?aff=ebdssbdestsearch,Huxley's Neue Welt • Berlin
5,Focus and Protect: Autumn Tour 2022 - Milan,Sat Nov 19 10:00 AM,https://www.eventbrite.co.uk/e/focus-and-protect-autumn-tour-2022-milan-tickets-403413680177?aff=ebdssbdestsearch,NH Milano Congress Center • Milano
6,Die lange Nacht der Clubs Stuttgart,Tomorrow at 10:00 PM,https://www.eventbrite.de/e/die-lange-nacht-der-clubs-stuttgart-tickets-93851292743?aff=ebdssbdestsearch,Stuttgart-Mitte • Stuttgart
7,FABBRICA DEL VAPORE -  Openwine,Thu Nov 17 7:00 PM,https://www.eventbrite.it/e/biglietti-fabbrica-del-vapore-openwine-192714593537?aff=ebdssbdestsearch,Vapore 1928 • Milano
8,Istanbul Blockchain Week,,https://www.eventbrite.co.uk/e/istanbul-blockchain-week-tickets-356220865197?aff=ebdssbdestsearch,Hilton Istanbul Bomonti Hotel & Conference Center • Istanbul Istanbul
9,Exit666 Festival [Warehouse Indoor Rave],Sat Nov 26 7:00 PM,https://www.eventbrite.com/e/exit666-festival-warehouse-indoor-rave-tickets-425677210997?aff=ebdssbdestsearch,UTOPIA - A HAPPENING PLACE (ehem. Reithalle) • München
10,TechRadarCon22,,https://www.eventbrite.ie/e/techradarcon22-tickets-400004051887?aff=ebdssbdestsearch,Zappa • Tel Aviv-Yafo Tel Aviv District
11,"""HackInBo - Sicurezza all'ombra delle Torri"" WINTER Edition 2022 - 19° Ed.",Sat Dec 3 9:30 AM,https://www.eventbrite.it/e/biglietti-hackinbo-sicurezza-allombra-delle-torri-winter-edition-2022-19-ed-422310190147?aff=ebdssbdestsearch,FICO Eataly World • Bologna
12,Lumpenbande Vintage Kilo Sale •  München •  Sa. 12.11 &  So. 13.11.22,Tomorrow at 12:00 PM + 1 more event,https://www.eventbrite.de/e/lumpenbande-vintage-kilo-sale-munchen-sa-1211-so-131122-tickets-432424492297?aff=ebdssbdestsearch,Weitblick Eventlocation • München
13,Marwan Moussa in Berlin,Tomorrow at 7:30 PM,https://www.eventbrite.co.uk/e/marwan-moussa-in-berlin-tickets-420541409677?aff=ebdssbdestsearch,Oyoun • Berlin
14,CRAZY PIANOBAR Live Music Show e Dj set,Thu Nov 17 7:30 PM,https://www.eventbrite.it/e/biglietti-crazy-pianobar-live-music-show-e-dj-set-428586041387?aff=ebdssbdestsearch,55 Milano • Milano
18,SHAKE IT OFF!  Pop Dance Party • Sa 19.11.22 • Astra Kulturhaus Berlin,Sat Nov 19 11:00 PM,https://www.eventbrite.de/e/shake-it-off-pop-dance-party-sa-191122-astra-kulturhaus-berlin-tickets-433205688877?aff=ebdssbdestsearch,Astra Kulturhaus • Berlin
19,VinNatur Venezia 2022,Sun Nov 13 10:00 AM + 1 more event,https://www.eventbrite.it/e/biglietti-vinnatur-venezia-2022-414739415757?aff=ebdssbdestsearch,San Francesco della Vigna • Venezia
20,GATE MILANO - SABATO OMAGGIO DONNA | Infoline +393382724181,Tomorrow at 11:00 PM,https://www.eventbrite.it/e/biglietti-gate-milano-sabato-omaggio-donna-infoline-393382724181-122712068099?aff=ebdssbdestsearch,Gate Milano • Milano
