Title,Date,Link to event
Begin your Tai Chi journey: An introduction to essential Tai Chi skills,Sun Nov 13 17:00:00 CET 2022,https://www.eventbrite.com/e/begin-your-tai-chi-journey-an-introduction-to-essential-tai-chi-skills-tickets-121038039033?aff=ebdssbonlinesearch
"""Come Meet A Black Person"" Anti-Racism Virtual Series",Sun Nov 13 09:00:00 CET 2022,https://www.eventbrite.com/e/come-meet-a-black-person-anti-racism-virtual-series-tickets-112824362706?aff=ebdssbonlinesearch
Let's Talk... Conversations on Race Equity & Belonging,Thu Nov 10 11:00:00 CET 2022,https://www.eventbrite.com/e/lets-talk-conversations-on-race-equity-belonging-tickets-150564842497?aff=ebdssbonlinesearch
We The Medicine -  Healing Our Inner Child 2022. Guided Meditations,Sat Nov 12 19:00:00 CET 2022,https://www.eventbrite.co.uk/e/we-the-medicine-healing-our-inner-child-2022-guided-meditations-tickets-167676981365?aff=ebdssbonlinesearch
Career Fair: Exclusive Tech Hiring Event-New Tickets Available,Fri Nov 11 18:00:00 CET 2022,https://www.eventbrite.com/e/career-fair-exclusive-tech-hiring-event-new-tickets-available-tickets-63049080497?aff=ebdssbonlinesearch
DRAWING KUSAMA: DOTS DOODLES AND INFINITY,Mon Nov 14 07:30:00 CET 2022,https://www.eventbrite.co.uk/e/drawing-kusama-dots-doodles-and-infinity-tickets-404181256017?aff=ebdssbonlinesearch
* ONLINE DANCE PARTIES * FREE on ZOOM!,Fri Nov 11 16:00:00 CET 2022,https://www.eventbrite.ca/e/online-dance-parties-free-on-zoom-tickets-135436904427?aff=ebdssbonlinesearch
LOUISE BOURGEOIS: DOODLING AND THE UNCONSCIOUS,Thu Jan 19 07:30:00 CET 2023,https://www.eventbrite.co.uk/e/louise-bourgeois-doodling-and-the-unconscious-tickets-228267884387?aff=ebdssbonlinesearch
An Evening with Philippa Gregory,Wed Nov 16 08:30:00 CET 2022,https://www.eventbrite.co.uk/e/an-evening-with-philippa-gregory-tickets-415426781687?aff=ebdssbonlinesearch
Matisse Picasso and Modigliani - Modern Art at the Barnes - Livestream,Sun Nov 13 16:00:00 CET 2022,https://www.eventbrite.com/e/matisse-picasso-and-modigliani-modern-art-at-the-barnes-livestream-tickets-424663769767?aff=ebdssbonlinesearch
Travel Indoors! (Black Travel Summit Digital Sessions),Sun Jan 22 07:00:00 CET 2023,https://www.eventbrite.com/e/travel-indoors-black-travel-summit-digital-sessions-tickets-100734070316?aff=ebdssbonlinesearch
Joint Polar Satellite System 2 (JPSS-2),Thu Nov 10 10:25:00 CET 2022,https://www.eventbrite.com/e/joint-polar-satellite-system-2-jpss-2-tickets-416885334257?aff=ebdssbonlinesearch
How To Stop Overthinking - with Ethan Kross,Mon Nov 14 08:00:00 CET 2022,https://www.eventbrite.co.uk/e/how-to-stop-overthinking-with-ethan-kross-tickets-417062042797?aff=ebdssbonlinesearch
FACEBOOK MARKETING TRAINING:HOW TO SCALE BUSINESS,Thu Nov 10 19:00:00 CET 2022,https://www.eventbrite.com/e/facebook-marketing-traininghow-to-scale-business-tickets-245411992877?aff=ebdssbonlinesearch
Roald Dahl: Teller of the Unexpected,Wed Nov 23 08:30:00 CET 2022,https://www.eventbrite.co.uk/e/roald-dahl-teller-of-the-unexpected-tickets-400160670337?aff=ebdssbonlinesearch
How to Develop a Picture Book: From Idea to Final Manuscript,Wed Nov 09 09:00:00 CET 2022,https://www.eventbrite.co.uk/e/how-to-develop-a-picture-book-from-idea-to-final-manuscript-tickets-410425592997?aff=ebdssbonlinesearch
Diversity Equity & Inclusion Conversations  -  Everybody At The Table,Wed Nov 09 17:00:00 CET 2022,https://www.eventbrite.com/e/diversity-equity-inclusion-conversations-everybody-at-the-table-tickets-147353742009?aff=ebdssbonlinesearch
Coursera x Grow with Google - Career Certificates Learner Webinar,Thu Nov 10 11:00:00 CET 2022,https://www.eventbrite.ie/e/coursera-x-grow-with-google-career-certificates-learner-webinar-registration-250217426057?aff=ebdssbonlinesearch
Branching out of the Notebook: ML Application Development with GitHub,Wed Nov 09 18:00:00 CET 2022,https://www.eventbrite.com/e/branching-out-of-the-notebook-ml-application-development-with-github-tickets-444136322697?aff=ebdssbonlinesearch
Speak the Word: online open mic night,Sat Nov 26 07:00:00 CET 2022,https://www.eventbrite.co.uk/e/speak-the-word-online-open-mic-night-tickets-163067488247?aff=ebdssbonlinesearch
Modern Investor Summit,Tue Dec 06 02:00:00 CET 2022,https://www.eventbrite.co.uk/e/modern-investor-summit-tickets-377370775147?aff=ebdssbonlinesearch
HIJACKED: Understanding how Trauma Impacts the Brain and Body,Thu Nov 10 19:00:00 CET 2022,https://www.eventbrite.com/e/hijacked-understanding-how-trauma-impacts-the-brain-and-body-tickets-262218000097?aff=ebdssbonlinesearch
