,Title,Date,Link to event
0,Begin your Tai Chi journey: An introduction to essential Tai Chi skills,"Sun, Nov 13, 2022 11:00 AM EST (-05:00) + 1 more event",https://www.eventbrite.com/e/begin-your-tai-chi-journey-an-introduction-to-essential-tai-chi-skills-tickets-121038039033?aff=ebdssbonlinesearch
1,"""Come Meet A Black Person"" Anti-Racism Virtual Series","Sun, Nov 13, 2022 3:00 PM EST (-05:00) + 25 more events",https://www.eventbrite.com/e/come-meet-a-black-person-anti-racism-virtual-series-tickets-112824362706?aff=ebdssbonlinesearch
2,"Let's Talk... Conversations on Race, Equity, & Belonging","Thu, Nov 10, 2022 5:00 PM EST (-05:00) + 11 more events",https://www.eventbrite.com/e/lets-talk-conversations-on-race-equity-belonging-tickets-150564842497?aff=ebdssbonlinesearch
3,We The Medicine -  Healing Our Inner Child 2022. Guided Meditations,"Sat, Nov 12, 2022 12:00 PM CST (-06:00) + 34 more events",https://www.eventbrite.co.uk/e/we-the-medicine-healing-our-inner-child-2022-guided-meditations-tickets-167676981365?aff=ebdssbonlinesearch
4,Career Fair: Exclusive Tech Hiring Event-New Tickets Available,"Fri, Nov 11, 2022 9:00 AM PST (-08:00)",https://www.eventbrite.com/e/career-fair-exclusive-tech-hiring-event-new-tickets-available-tickets-63049080497?aff=ebdssbonlinesearch
5,"DRAWING KUSAMA: DOTS, DOODLES AND INFINITY","Mon, Nov 14, 2022 6:30 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/drawing-kusama-dots-doodles-and-infinity-tickets-404181256017?aff=ebdssbonlinesearch
6,* ONLINE DANCE PARTIES * FREE on ZOOM!,"Fri, Nov 11, 2022 10:00 PM EST (-05:00) + 9 more events",https://www.eventbrite.ca/e/online-dance-parties-free-on-zoom-tickets-135436904427?aff=ebdssbonlinesearch
7,LOUISE BOURGEOIS: DOODLING AND THE UNCONSCIOUS,"Thu, Jan 19, 2023 6:30 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/louise-bourgeois-doodling-and-the-unconscious-tickets-228267884387?aff=ebdssbonlinesearch
8,An Evening with Philippa Gregory,"Wed, Nov 16, 2022 7:30 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/an-evening-with-philippa-gregory-tickets-415426781687?aff=ebdssbonlinesearch
9,Travel Indoors! (Black Travel Summit Digital Sessions),"Sun, Jan 22, 2023 1:00 PM EST (-05:00) + 13 more events",https://www.eventbrite.com/e/travel-indoors-black-travel-summit-digital-sessions-tickets-100734070316?aff=ebdssbonlinesearch
10,"Matisse, Picasso and Modigliani - Modern Art at the Barnes - Livestream","Sun, Nov 13, 2022 10:00 AM EST (-05:00)",https://www.eventbrite.com/e/matisse-picasso-and-modigliani-modern-art-at-the-barnes-livestream-tickets-424663769767?aff=ebdssbonlinesearch
11,Joint Polar Satellite System 2 (JPSS-2),"Thu, Nov 10, 2022 1:25 AM PST (-08:00)",https://www.eventbrite.com/e/joint-polar-satellite-system-2-jpss-2-tickets-416885334257?aff=ebdssbonlinesearch
12,FACEBOOK MARKETING TRAINING:HOW TO SCALE BUSINESS,"Thu, Nov 10, 2022 10:00 AM PST (-08:00)",https://www.eventbrite.com/e/facebook-marketing-traininghow-to-scale-business-tickets-245411992877?aff=ebdssbonlinesearch
13,Roald Dahl: Teller of the Unexpected,"Wed, Nov 23, 2022 7:30 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/roald-dahl-teller-of-the-unexpected-tickets-400160670337?aff=ebdssbonlinesearch
14,How To Stop Overthinking - with Ethan Kross,"Mon, Nov 14, 2022 7:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/how-to-stop-overthinking-with-ethan-kross-tickets-417062042797?aff=ebdssbonlinesearch
15,Act of Oblivion: In conversation with Robert Harris,"Mon, Nov 7, 2022 7:30 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/act-of-oblivion-in-conversation-with-robert-harris-tickets-418592309867?aff=ebdssbonlinesearch
16,How to Develop a Picture Book: From Idea to Final Manuscript,"Wed, Nov 9, 2022 3:00 PM EST (-05:00)",https://www.eventbrite.co.uk/e/how-to-develop-a-picture-book-from-idea-to-final-manuscript-tickets-410425592997?aff=ebdssbonlinesearch
17,"Diversity, Equity & Inclusion Conversations  -  Everybody At The Table","Wed, Nov 9, 2022 8:00 AM PST (-08:00) + 19 more events",https://www.eventbrite.com/e/diversity-equity-inclusion-conversations-everybody-at-the-table-tickets-147353742009?aff=ebdssbonlinesearch
18,Coursera x Grow with Google - Career Certificates Learner Webinar,"Thu, Nov 10, 2022 10:00 AM GMT (+00:00) + 3 more events",https://www.eventbrite.ie/e/coursera-x-grow-with-google-career-certificates-learner-webinar-registration-250217426057?aff=ebdssbonlinesearch
19,Speak the Word: online open mic night,"Sat, Nov 26, 2022 6:00 PM GMT (+00:00) + 1 more event",https://www.eventbrite.co.uk/e/speak-the-word-online-open-mic-night-tickets-163067488247?aff=ebdssbonlinesearch
20,Modern Investor Summit,"Tue, Dec 6, 2022 1:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/modern-investor-summit-tickets-377370775147?aff=ebdssbonlinesearch
21,HIJACKED: Understanding how Trauma Impacts the Brain and Body,"Thu, Nov 10, 2022 11:00 AM MST (-07:00)",https://www.eventbrite.com/e/hijacked-understanding-how-trauma-impacts-the-brain-and-body-tickets-262218000097?aff=ebdssbonlinesearch
22,The Wisdom of the Chakra System - Free 1Hr Webinar (RECORDING),"Wed, Nov 16, 2022 6:00 PM EST (-05:00)",https://www.eventbrite.com/e/the-wisdom-of-the-chakra-system-free-1hr-webinar-recording-tickets-162813045201?aff=ebdssbonlinesearch
23,Branching out of the Notebook: ML Application Development with GitHub,"Wed, Nov 9, 2022 9:00 AM PST (-08:00)",https://www.eventbrite.com/e/branching-out-of-the-notebook-ml-application-development-with-github-tickets-444136322697?aff=ebdssbonlinesearch
24,Lemongrass Chicken Cooking Class,"Wed, Nov 9, 2022 4:00 PM PST (-08:00)",https://www.eventbrite.com/e/lemongrass-chicken-cooking-class-tickets-391835359107?aff=ebdssbonlinesearch
25,Patti Smith: A Book of Days,"Tue, Nov 15, 2022 8:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/patti-smith-a-book-of-days-tickets-444533400367?aff=ebdssbonlinesearch
26,CND™ NAILATHON™ - CND™ SHELLAC™ For Everyone,"Mon, Nov 14, 2022 10:00 AM EST (-05:00)",https://www.eventbrite.com/e/cndtm-nailathontm-cndtm-shellactm-for-everyone-tickets-429369013277?aff=ebdssbonlinesearch
27,SocietyX : Gentle Yoga Flow,"Sat, Dec 3, 2022 11:30 AM EST (-05:00) + 12 more events",https://www.eventbrite.com/e/societyx-gentle-yoga-flow-tickets-317054989007?aff=ebdssbonlinesearch
28,Ian McEwan: Lessons,"Wed, Nov 9, 2022 8:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/ian-mcewan-lessons-tickets-418823962747?aff=ebdssbonlinesearch
29,Free Life Drawing Online: Illustration Isolation,"Thu, Nov 10, 2022 6:00 PM CST (-06:00) + 16 more events",https://www.eventbrite.com/e/free-life-drawing-online-illustration-isolation-tickets-122897913969?aff=ebdssbonlinesearch
30,Study in the USA Webinar for Africa,"Thu, Nov 10, 2022 1:00 PM EST (-05:00)",https://www.eventbrite.com/e/study-in-the-usa-webinar-for-africa-registration-439150138887?aff=ebdssbonlinesearch
31,Christmas is a lusty fellow: The Georgian Christmas,"Wed, Nov 30, 2022 7:30 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/christmas-is-a-lusty-fellow-the-georgian-christmas-tickets-400164592067?aff=ebdssbonlinesearch
32,UX Research Skillshop,"Fri, Dec 9, 2022 10:00 AM EST (-05:00)",https://www.eventbrite.com/e/ux-research-skillshop-tickets-428640474197?aff=ebdssbonlinesearch
33,The Midterms: What Happened — and Where Do We Go From Here?,"Wed, Nov 9, 2022 3:00 PM EST (-05:00)",https://www.eventbrite.com/e/the-midterms-what-happened-and-where-do-we-go-from-here-tickets-444111107277?aff=ebdssbonlinesearch
34,A turbulent decade:  The 1970s in ten documents,"Fri, Nov 18, 2022 2:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/a-turbulent-decade-the-1970s-in-ten-documents-tickets-400142335497?aff=ebdssbonlinesearch
35,Ecommerce Marketing  How we Built  $50 MILLION Ecommerce business in 1 year,"Thu, Nov 10, 2022 10:00 AM EST (-05:00)",https://www.eventbrite.com/e/ecommerce-marketing-how-we-built-50-million-ecommerce-business-in-1-year-tickets-187621851007?aff=ebdssbonlinesearch
36,3 Brain Hacks for Manifestation - Free 1Hr Webinar,"Wed, Nov 16, 2022 7:00 PM EST (-05:00)",https://www.eventbrite.com/e/3-brain-hacks-for-manifestation-free-1hr-webinar-tickets-224181862987?aff=ebdssbonlinesearch
37,Accelerated Cybersecurity Training Program,"Tue, Nov 8, 2022 12:00 PM EST (-05:00)",https://www.eventbrite.ca/e/accelerated-cybersecurity-training-program-tickets-310046857497?aff=ebdssbonlinesearch
38,Christmas in Wartime,"Fri, Dec 2, 2022 2:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/christmas-in-wartime-tickets-400726633147?aff=ebdssbonlinesearch
39,DIVERGENT MINDS: FEMALE NEURODIVERSITY IN ART & ART HISTORY,"Mon, Nov 28, 2022 6:30 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/divergent-minds-female-neurodiversity-in-art-art-history-tickets-406356101037?aff=ebdssbonlinesearch
40,The Ultimate Cold Prospecting Masterclass,"Thu, Nov 10, 2022 2:00 PM EST (-05:00)",https://www.eventbrite.com/e/the-ultimate-cold-prospecting-masterclass-tickets-444050255267?aff=ebdssbonlinesearch
41,Black Family Business Networking Event,"Fri, Dec 2, 2022 7:00 PM EST (-05:00)",https://www.eventbrite.com/e/black-family-business-networking-event-tickets-355076051027?aff=ebdssbonlinesearch
42,Elizabeth I: A tale of betrayal and deception with Tracy Borman,"Wed, Jan 25, 2023 7:30 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/elizabeth-i-a-tale-of-betrayal-and-deception-with-tracy-borman-tickets-415445216827?aff=ebdssbonlinesearch
43,Feng Shui Monthly Energy Shift Workshop,"Thu, Dec 1, 2022 12:00 PM EST (-05:00) + 12 more events",https://www.eventbrite.com/e/feng-shui-monthly-energy-shift-workshop-tickets-148941703645?aff=ebdssbonlinesearch
44,Study in the USA Webinar for Latin & Central America,"Tue, Nov 8, 2022 8:00 PM EST (-05:00)",https://www.eventbrite.com/e/study-in-the-usa-webinar-for-latin-central-america-registration-449527778687?aff=ebdssbonlinesearch
45,Mediaeval Buildings: Hidden Historic Houses,"Wed, Nov 23, 2022 7:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/mediaeval-buildings-hidden-historic-houses-tickets-431615893757?aff=ebdssbonlinesearch
46,Introduction to AI/ML,"Wed, Nov 9, 2022 3:00 PM CET (+01:00)",https://www.eventbrite.nl/e/introduction-to-aiml-tickets-429684356477?aff=ebdssbonlinesearch
47,BEATRIX POTTER: Drawing Nature (3),"Sat, Nov 12, 2022 2:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/beatrix-potter-drawing-nature-3-tickets-430134542997?aff=ebdssbonlinesearch
48,"SBA Certifications: 8(a), HUBZone, and WOSB Informational Webinar","Wed, Nov 16, 2022 9:30 AM PST (-08:00) + 1 more event",https://www.eventbrite.com/e/sba-certifications-8a-hubzone-and-wosb-informational-webinar-tickets-37389043636?aff=ebdssbonlinesearch
49,The Real History Behind The Woman King,"Sun, Nov 13, 2022 7:00 PM GMT (+00:00)",https://www.eventbrite.com/e/the-real-history-behind-the-woman-king-tickets-448666803487?aff=ebdssbonlinesearch
50,Virtual Writing Hour with the National Portrait Gallery,"Tue, Dec 13, 2022 5:00 PM EST (-05:00) + 3 more events",https://www.eventbrite.com/e/virtual-writing-hour-with-the-national-portrait-gallery-tickets-99411309904?aff=ebdssbonlinesearch
51,WorkSpace for Black Girls,"Thu, Nov 17, 2022 7:00 PM EST (-05:00) + 1 more event",https://www.eventbrite.com/e/workspace-for-black-girls-tickets-250687351617?aff=ebdssbonlinesearch
52,Online SASHIKO - Japanese Mending Workshop,"Wed, Nov 9, 2022 7:00 PM GMT (+00:00) + 8 more events",https://www.eventbrite.co.uk/e/online-sashiko-japanese-mending-workshop-tickets-142081961973?aff=ebdssbonlinesearch
53,"INSEAD Workshop: Venture Capital, Business Angels, and Starts Ups","Thu, Nov 17, 2022 11:30 PM CET (+01:00) + 2 more events",https://www.eventbrite.com/e/insead-workshop-venture-capital-business-angels-and-starts-ups-tickets-113712017706?aff=ebdssbonlinesearch
54,The Neuroscience of stress and wellness series by Dr Safia Debar 2022,"Mon, Nov 7, 2022 7:00 PM GMT (+00:00) + 1 more event",https://www.eventbrite.co.uk/e/the-neuroscience-of-stress-and-wellness-series-by-dr-safia-debar-2022-tickets-211055471597?aff=ebdssbonlinesearch
55,Fiorella Giordano & Justin Abraham: Mysterion,"Sat, Nov 19, 2022 8:00 AM AEDT (+11:00)",https://www.eventbrite.com.au/e/fiorella-giordano-justin-abraham-mysterion-tickets-444494193097?aff=ebdssbonlinesearch
56,MASKING TAPE MYCOLOGY: Sculpting with Studio Funnel,"Fri, Nov 11, 2022 6:30 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/masking-tape-mycology-sculpting-with-studio-funnel-tickets-440956622127?aff=ebdssbonlinesearch
57,Understanding Dissociation and Dissociative Disorders [Free Webinar],"Tue, Nov 15, 2022 12:00 PM CST (-06:00)",https://www.eventbrite.com/e/understanding-dissociation-and-dissociative-disorders-free-webinar-tickets-427943379167?aff=ebdssbonlinesearch
58,Live Guided Meditation | hosted by Meditation Breaks,"Wed, Nov 9, 2022 6:30 PM MST (-07:00) + 15 more events",https://www.eventbrite.com/e/live-guided-meditation-hosted-by-meditation-breaks-registration-100844504628?aff=ebdssbonlinesearch
59,No borders! No prisons! No cops! No war! No state?,"Tue, Nov 15, 2022 7:00 PM EST (-05:00)",https://www.eventbrite.com/e/no-borders-no-prisons-no-cops-no-war-no-state-tickets-404721281247?aff=ebdssbonlinesearch
60,Modern Investor Summit,"Tue, Dec 6, 2022 1:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/modern-investor-summit-tickets-377370775147?aff=ebdssbonlinesearch
61,HIJACKED: Understanding how Trauma Impacts the Brain and Body,"Thu, Nov 10, 2022 11:00 AM MST (-07:00)",https://www.eventbrite.com/e/hijacked-understanding-how-trauma-impacts-the-brain-and-body-tickets-262218000097?aff=ebdssbonlinesearch
62,The Wisdom of the Chakra System - Free 1Hr Webinar (RECORDING),"Wed, Nov 16, 2022 6:00 PM EST (-05:00)",https://www.eventbrite.com/e/the-wisdom-of-the-chakra-system-free-1hr-webinar-recording-tickets-162813045201?aff=ebdssbonlinesearch
63,Branching out of the Notebook: ML Application Development with GitHub,"Wed, Nov 9, 2022 9:00 AM PST (-08:00)",https://www.eventbrite.com/e/branching-out-of-the-notebook-ml-application-development-with-github-tickets-444136322697?aff=ebdssbonlinesearch
64,Lemongrass Chicken Cooking Class,"Wed, Nov 9, 2022 4:00 PM PST (-08:00)",https://www.eventbrite.com/e/lemongrass-chicken-cooking-class-tickets-391835359107?aff=ebdssbonlinesearch
65,Patti Smith: A Book of Days,"Tue, Nov 15, 2022 8:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/patti-smith-a-book-of-days-tickets-444533400367?aff=ebdssbonlinesearch
66,CND™ NAILATHON™ - CND™ SHELLAC™ For Everyone,"Mon, Nov 14, 2022 10:00 AM EST (-05:00)",https://www.eventbrite.com/e/cndtm-nailathontm-cndtm-shellactm-for-everyone-tickets-429369013277?aff=ebdssbonlinesearch
67,SocietyX : Gentle Yoga Flow,"Sat, Dec 3, 2022 11:30 AM EST (-05:00) + 12 more events",https://www.eventbrite.com/e/societyx-gentle-yoga-flow-tickets-317054989007?aff=ebdssbonlinesearch
68,Ian McEwan: Lessons,"Wed, Nov 9, 2022 8:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/ian-mcewan-lessons-tickets-418823962747?aff=ebdssbonlinesearch
69,Free Life Drawing Online: Illustration Isolation,"Thu, Nov 10, 2022 6:00 PM CST (-06:00) + 16 more events",https://www.eventbrite.com/e/free-life-drawing-online-illustration-isolation-tickets-122897913969?aff=ebdssbonlinesearch
70,Study in the USA Webinar for Africa,"Thu, Nov 10, 2022 1:00 PM EST (-05:00)",https://www.eventbrite.com/e/study-in-the-usa-webinar-for-africa-registration-439150138887?aff=ebdssbonlinesearch
71,Christmas is a lusty fellow: The Georgian Christmas,"Wed, Nov 30, 2022 7:30 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/christmas-is-a-lusty-fellow-the-georgian-christmas-tickets-400164592067?aff=ebdssbonlinesearch
72,UX Research Skillshop,"Fri, Dec 9, 2022 10:00 AM EST (-05:00)",https://www.eventbrite.com/e/ux-research-skillshop-tickets-428640474197?aff=ebdssbonlinesearch
73,The Midterms: What Happened — and Where Do We Go From Here?,"Wed, Nov 9, 2022 3:00 PM EST (-05:00)",https://www.eventbrite.com/e/the-midterms-what-happened-and-where-do-we-go-from-here-tickets-444111107277?aff=ebdssbonlinesearch
74,A turbulent decade:  The 1970s in ten documents,"Fri, Nov 18, 2022 2:00 PM GMT (+00:00)",https://www.eventbrite.co.uk/e/a-turbulent-decade-the-1970s-in-ten-documents-tickets-400142335497?aff=ebdssbonlinesearch
75,Ecommerce Marketing  How we Built  $50 MILLION Ecommerce business in 1 year,"Thu, Nov 10, 2022 10:00 AM EST (-05:00)",https://www.eventbrite.com/e/ecommerce-marketing-how-we-built-50-million-ecommerce-business-in-1-year-tickets-187621851007?aff=ebdssbonlinesearch
76,3 Brain Hacks for Manifestation - Free 1Hr Webinar,"Wed, Nov 16, 2022 7:00 PM EST (-05:00)",https://www.eventbrite.com/e/3-brain-hacks-for-manifestation-free-1hr-webinar-tickets-224181862987?aff=ebdssbonlinesearch
